m [eV],radius [R_solar],Q [erg/s/cm^3]
0.1,0.001,2.479320798070849e+22
0.1,0.0010233710105389611,2.479324024887776e+22
0.1,0.0010472882252115343,2.4793272517088286e+22
0.1,0.0010717644093602829,2.479330478534005e+22
0.1,0.0010968126266667254,2.4793337053633172e+22
0.1,0.0011224462461238188,2.479336932196744e+22
0.1,0.001148678949171396,2.4793401590342962e+22
0.1,0.0011755247369983632,2.4793433858759744e+22
0.1,0.0012029979380155601,2.4793466127217777e+22
0.1,0.0012311132155032702,2.479349839571707e+22
0.1,0.0012598855754374512,2.4793530664257596e+22
0.1,0.0012893303744988848,2.47935629328395e+22
0.1,0.0013194633282695009,2.4793595201462552e+22
0.1,0.0013503005196202598,2.4793627470126853e+22
0.1,0.0013818584072950693,2.479365973883241e+22
0.1,0.0014141538346953146,2.479369200757923e+22
0.1,0.001447204038869691,2.4793724276367298e+22
0.1,0.0014810266597141413,2.4793756545196623e+22
0.1,0.001515639749386803,2.4793797444412962e+22
0.1,0.00155106178194299,2.479384893522353e+22
0.1,0.0015873116631953592,2.479390042613841e+22
0.1,0.0016244087408045138,2.479395191715781e+22
0.1,0.0016623728146054366,2.4794003408281634e+22
0.1,0.0017012241471752623,2.4794054899509873e+22
0.1,0.0017409834746480288,2.4794106390842534e+22
0.1,0.0017816720177821846,2.4794157882279637e+22
0.1,0.0018233114932867441,2.4794209373821145e+22
0.1,0.0018659241254121574,2.479426086546709e+22
0.1,0.0019095326578120666,2.479431235721746e+22
0.1,0.0019541603656822826,2.4794363849072183e+22
0.1,0.0019998310681834633,2.479441534103141e+22
0.1,0.0020465691411541203,2.479291741432808e+22
0.1,0.0020943995301207457,2.479141389070664e+22
0.1,0.002143347763611993,2.4789910456315008e+22
0.1,0.002193439966784027,2.4788407111121627e+22
0.1,0.0022447028753643152,2.478690385509634e+22
0.1,0.0022971638499212905,2.478540068820961e+22
0.1,0.002350850890467519,2.4783897610433075e+22
0.1,0.0024057926514041636,2.4782394621739223e+22
0.1,0.0024620184568146827,2.4780891722101035e+22
0.1,0.002519558316116015,2.4779942933111085e+22
0.1,0.0025784429400754895,2.4780082555926356e+22
0.1,0.0026387037572021036,2.4780222179510854e+22
0.1,0.00270037293052087,2.4780361803864696e+22
0.1,0.002763483374739198,2.478050142898772e+22
0.1,0.0028280687738144717,2.478064105488e+22
0.1,0.002894163598932196,2.4780780681541617e+22
0.1,0.0029618031269043176,2.4780920308972636e+22
0.1,0.0030310234589975265,2.478110245083204e+22
0.1,0.0031018615402015957,2.4781337546383344e+22
0.1,0.003174355178948045,2.478157264411371e+22
0.1,0.003248543067289645,2.4781807744023433e+22
0.1,0.003324464801551537,2.4782042846112516e+22
0.1,0.0034021609034650064,2.4782277950381073e+22
0.1,0.0034816728417951244,2.4782513056829174e+22
0.1,0.003563043054473933,2.4778308958774387e+22
0.1,0.0036463149712508153,2.47728004140026e+22
0.1,0.0037315330368722895,2.476729308494721e+22
0.1,0.0038187427348035123,2.4761786971506554e+22
0.1,0.003907990611504186,2.475628207359282e+22
0.1,0.003999324301271812,2.475077839113309e+22
0.1,0.0040927925516655575,2.47511426794798e+22
0.1,0.004188445249524314,2.4751550196758738e+22
0.1,0.004286333447592808,2.475195772061327e+22
0.1,0.004386509391770001,2.4752365251044206e+22
0.1,0.004489026548994309,2.4752772788052317e+22
0.1,0.004593939635780531,2.475022600242892e+22
0.1,0.004701304647423704,2.474733040876961e+22
0.1,0.004811178887885514,2.4744435146138885e+22
0.1,0.004923621000379109,2.4741540214292294e+22
0.1,0.005038690998668819,2.473982092440278e+22
0.1,0.005156450299101276,2.4740448848095144e+22
0.1,0.0052769617533852,2.4741076787367055e+22
0.1,0.005400289682137259,2.4741704742220507e+22
0.1,0.005526499909211933,2.4741499825674896e+22
0.1,0.005655659796833691,2.473812494228277e+22
0.1,0.00578783828155027,2.473475050746785e+22
0.1,0.005923105911026183,2.4731376520917292e+22
0.1,0.006061534881696159,2.472988845392552e+22
0.1,0.0062031990772985586,2.473078399003546e+22
0.1,0.006348174108309377,2.4731679557793656e+22
0.1,0.006496537352297835,2.473257515720526e+22
0.1,0.0066483679952251355,2.4723374073405657e+22
0.1,0.006803747073708439,2.4713938137389396e+22
0.1,0.006962757518272498,2.470450577215774e+22
0.1,0.007125484197612275,2.469914654084704e+22
0.1,0.007292013963889871,2.4695010172853107e+22
0.1,0.007462435699090192,2.4690874479830802e+22
0.1,0.007636840362459948,2.4686756485325736e+22
0.1,0.007815321039055361,2.4682643885307223e+22
0.1,0.00799797298942449,2.4678531950701655e+22
0.1,0.008184893700450654,2.4674148243071685e+22
0.1,0.008376182937384161,2.466976130517161e+22
0.1,0.008571942797090032,2.4662640003844133e+22
0.1,0.008772277762540194,2.465076019534711e+22
0.1,0.008977294758579215,2.463888507588106e+22
0.1,0.00918710320899333,2.4633399936102838e+22
0.1,0.009401815094913226,2.462869968819114e+22
0.1,0.009621545014581815,2.4623903751955945e+22
0.1,0.009846410244518685,2.461902944815572e+22
0.1,0.01007653080211427,2.4611305406511714e+22
0.1,0.010312029509686647,2.4597798530252574e+22
0.1,0.010553032060035605,2.458614198297218e+22
0.1,0.010799667083528693,2.458110239821995e+22
0.1,0.01105206621675511,2.4575994916913826e+22
0.1,0.01131036417278419,2.4570621304373273e+22
0.1,0.011574698813065816,2.456014090389095e+22
0.1,0.011845211221011277,2.453655634344935e+22
0.1,0.01212204577729375,2.4520914195358633e+22
0.1,0.01240535023690865,2.451544053569874e+22
0.1,0.012695275808034936,2.450291420160248e+22
0.1,0.012991977232739538,2.448693833410326e+22
0.1,0.013295612869567838,2.4471739770936693e+22
0.1,0.013606344778064453,2.4459740160726877e+22
0.1,0.013924338805269335,2.4453903936226285e+22
0.1,0.014249764674235346,2.4431242438164263e+22
0.1,0.014582796074614617,2.4408865831848153e+22
0.1,0.014923610755361947,2.4403052774080924e+22
0.1,0.015272390619604862,2.4378950693251455e+22
0.1,0.01562932182173078,2.435802543482665e+22
0.1,0.01599459486674326,2.43519515216457e+22
0.1,0.01636840471194033,2.432148869085901e+22
0.1,0.016750950870969065,2.4298920044283164e+22
0.1,0.017142437520312102,2.427552541201434e+22
0.1,0.017543073608262797,2.4244456478637575e+22
0.1,0.017953072966447266,2.4225966614401977e+22
0.1,0.01837265442395284,2.419342032213804e+22
0.1,0.01880204192412373,2.415875628586124e+22
0.1,0.019241464644086416,2.4132164193136962e+22
0.1,0.019691157117068404,2.410549313251353e+22
0.1,0.020151359357575747,2.4069131592203835e+22
0.1,0.020622316989496042,2.403635014031147e+22
0.1,0.021104281377195337,2.4011833407685255e+22
0.1,0.021597509759678966,2.397333447905331e+22
0.1,0.02210226538788774,2.393764829683872e+22
0.1,0.022618817665202975,2.3908003802480403e+22
0.1,0.023147442291235273,2.3855540693813495e+22
0.1,0.023688421408973724,2.381489501280935e+22
0.1,0.024242043755374195,2.3774062660818974e+22
0.1,0.024808604815467004,2.3731238193887764e+22
0.1,0.025388406980066187,2.3675593945962175e+22
0.1,0.025981759707164747,2.361271876961855e+22
0.1,0.02658897968710165,2.358178484179307e+22
0.1,0.02721039101158912,2.351660814039621e+22
0.1,0.02784632534669022,2.3461013624856756e+22
0.1,0.028497122109839054,2.339831036946793e+22
0.1,0.029163128650998158,2.3328972112332442e+22
0.1,0.0298447004380497,2.3281500300222377e+22
0.1,0.030542201246519494,2.3220102519680886e+22
0.1,0.03125600335373497,2.3147316812113227e+22
0.1,0.03198648773752091,2.307300744081324e+22
0.1,0.03273404427953886,2.2997243776924505e+22
0.1,0.03349907197337878,2.2920234836661633e+22
0.1,0.034281979137514025,2.2826035601918585e+22
0.1,0.03508318363323331,2.2746037789057016e+22
0.1,0.035903113087665896,2.2664714190237574e+22
0.1,0.03674220512201924,2.2557630836808773e+22
0.1,0.03760090758515062,2.246138619429878e+22
0.1,0.03847967879259768,2.2362811386637138e+22
0.1,0.03937898777119531,2.225948867084764e+22
0.1,0.04029931450940953,2.2144214050433457e+22
0.1,0.04124115021352185,2.2030805239636183e+22
0.1,0.04220499756980092,2.192243780227698e+22
0.1,0.04319137101280156,2.178970713396312e+22
0.1,0.04420079699993392,2.167735748405117e+22
0.1,0.04523381429244985,2.15376805150063e+22
0.1,0.04629097424299611,2.140333411159943e+22
0.1,0.04737284108988794,2.1272097725840273e+22
0.1,0.04847999225826024,2.112132784096194e+22
0.1,0.049613018668256785,2.096352106465326e+22
0.1,0.050772525050422256,2.0825779777316917e+22
0.1,0.05195913026846533,2.0656267243760172e+22
0.1,0.05317346764956489,2.049874604051812e+22
0.1,0.05441618532239598,2.0321474720575888e+22
0.1,0.05568794656305575,2.014595871182608e+22
0.1,0.05698943014907402,1.9969908685463817e+22
0.1,0.058321330721697415,1.9780200398654122e+22
0.1,0.0596843591566404,1.9585931813343325e+22
0.1,0.06107924294350139,1.938960514916672e+22
0.1,0.06250672657404571,1.9199143906265736e+22
0.1,0.06396757193956369,1.8989909197113277e+22
0.1,0.06546255873751498,1.8761197365231278e+22
0.1,0.0669924848876768,1.854454894348229e+22
0.1,0.06855816695801788,1.8321397765792044e+22
0.1,0.07016044060052556,1.8093120971333427e+22
0.1,0.07180016099721856,1.7850126284264621e+22
0.1,0.07347820331658365,1.7604192854595265e+22
0.1,0.07519546318067945,1.7351395624033416e+22
0.1,0.07695285714315717,1.7095340575841252e+22
0.1,0.07875132317845304,1.6838776871539148e+22
0.1,0.0805918211824138,1.657624556672422e+22
0.1,0.08247533348462205,1.6312420850246183e+22
0.1,0.08440286537269544,1.6029065005579232e+22
0.1,0.08637544562883921,1.575342650573561e+22
0.1,0.08839412707893828,1.5461123782870686e+22
0.1,0.09045998715448239,1.5178213294263937e+22
0.1,0.0925741284676241,1.4877660794931405e+22
0.1,0.09473767939967605,1.458516400757328e+22
0.1,0.0969517947033626,1.4278080361074472e+22
0.1,0.09921765611914607,1.39664016635009e+22
0.1,0.10153647300595764,1.3664843593769942e+22
0.1,0.1039094829866688,1.334697597702616e+22
0.1,0.10633795260864823,1.3026911535375451e+22
0.1,0.10882317801975648,1.271555599453463e+22
0.1,0.11136648566013933,1.239085977646655e+22
0.1,0.11396923297018949,1.206397904059525e+22
0.1,0.1166328091150531,1.173417621455626e+22
0.1,0.11935863572606964,1.1414472208450889e+22
0.1,0.12214816765953963,1.1082449074333204e+22
0.1,0.1250028937732255,1.0749067420084283e+22
0.1,0.12792433772100018,1.0414812761742436e+22
0.1,0.13091405876606726,1.0089825621192835e+22
0.1,0.1339736526131872,9.755035976399527e+21
0.1,0.1371047522603531,9.420655391759164e+21
0.1,0.14030902887037144,9.094911094876868e+21
0.1,0.14358819266281228,8.763474853357258e+21
0.1,0.14694399382680523,8.43855272003462e+21
0.1,0.15037822345516852,8.115530944704023e+21
0.1,0.1538927145003695,7.793372287162919e+21
0.1,0.1574893427528268,7.474686331299749e+21
0.1,0.16117002784207715,7.15654437892366e+21
0.1,0.16493673426133898,6.841364893829419e+21
0.1,0.16879147241602255,6.536973295127123e+21
0.1,0.17273629969674417,6.234956849217972e+21
0.1,0.1767733215774179,5.936157467858888e+21
0.1,0.18090469273901089,5.641327931053188e+21
0.1,0.18513261821956178,5.353061466824915e+21
0.1,0.18945935459107663,5.071743659794535e+21
0.1,0.19388721116392943,4.797384686095329e+21
0.1,0.19841855121941135,4.529023030097616e+21
0.1,0.20305579327108564,4.268310136694005e+21
0.1,0.20780141235562127,4.015616770661818e+21
0.1,0.21265794135379548,3.770432109103215e+21
0.1,0.21762797234236878,3.5327690937931404e+21
0.1,0.22271415797755478,3.303941060553341e+21
0.1,0.22791921291082406,3.0838582424628505e+21
0.1,0.2332459152377946,2.872003234802994e+21
0.1,0.2386971079809867,2.669555861064492e+21
0.1,0.24427570060722983,2.475517502986532e+21
0.1,0.2499846705805335,2.2903466206257695e+21
0.1,0.25582706495124985,2.114767653910033e+21
0.1,0.26180600198237697,1.948928958631406e+21
0.1,0.2679246728138704,1.791070859094133e+21
0.1,0.274186343165851,1.6425308095063515e+21
0.1,0.2805943550816193,1.5026474660757258e+21
0.1,0.2871521287114048,1.3715466359218053e+21
0.1,0.2938631641378041,1.2483314498428079e+21
0.1,0.30073104324388117,1.1342915777819315e+21
0.1,0.3077594316249267,1.027625018668029e+21
0.1,0.31495208054489715,9.288077192654969e+20
0.1,0.32231282893857965,8.38142329547728e+20
0.1,0.32984560546054553,7.541666829468575e+20
0.1,0.3375544305819939,6.772462959877133e+20
0.1,0.3454434187365986,6.066595299922657e+20
0.1,0.3535167805165065,5.4212803939132716e+20
0.1,0.3617788249196573,4.8339923288629635e+20
0.1,0.3702339616496276,4.300640133044902e+20
0.1,0.37888670346922226,3.81779525288175e+20
0.1,0.38774166860907366,3.381503679615057e+20
0.1,0.3968035832325307,2.988111815380129e+20
0.1,0.40607728395815557,2.6349840505879383e+20
0.1,0.41556772044117435,2.3190240458294588e+20
0.1,0.425279958015257,2.0357520557885866e+20
0.1,0.43521918039604046,1.7841582474217433e+20
0.1,0.4453906924478339,1.559893434631333e+20
0.1,0.4557999230149874,1.3607775231418506e+20
0.1,0.46645242781942825,1.1847267885584286e+20
0.1,0.4773538924259201,1.0291907906200617e+20
0.1,0.48851013527662035,8.924105239973003e+19
0.1,0.4999271107965595,7.720778522938386e+19
0.1,0.5116109125716982,6.665054668803158e+19
0.1,0.5235677766012589,5.743790113337101e+19
0.1,0.5358040846260672,4.936835102513836e+19
0.1,0.5483263675346814,4.233480147146926e+19
0.1,0.5611413088491247,3.6221226169216455e+19
0.1,0.5742557482920839,3.09117974280856e+19
0.1,0.5876766854374772,2.6321128162175082e+19
0.1,0.6014112834463382,2.2346232651884286e+19
0.1,0.6154668728900126,1.8913435578439123e+19
0.1,0.6298509556627058,1.5957879172942492e+19
0.1,0.6445712089854736,1.3415646861550643e+19
0.1,0.6596354895037839,1.12308875057706e+19
0.1,0.6750518374808496,9.354127922112676e+18
0.1,0.6908284810889596,7.743783139061778e+18
0.1,0.7069738408011039,6.364577257426373e+18
0.1,0.7234965338852364,5.186391235997774e+18
0.1,0.74040537900357,4.176665568025181e+18
0.1,0.7577094009193659,3.312897990994621e+18
0.1,0.7754178353137223,2.5803831523915843e+18
0.1,0.7935401337149376,1.9658936271162496e+18
0.1,0.8120859685430778,1.4592729326557517e+18
0.1,0.8310652382724405,1.0481397436304142e+18
0.1,0.8504880727146699,7.21865383265267e+17
0.1,0.8703648384253451,4.706398044241507e+17
0.1,0.890706144236924,2.8434493606731082e+17
0.1,0.8970257246158319,2.38864839765778e+17
