,m [eV],radius [R_solar],Q [erg/s/cm^3]
0,0.1,0.001,2.479320798070849e+22
1,0.1,0.0010233717986325203,2.4793240249953396e+22
2,0.1,0.0010472898382363584,2.479327251923963e+22
3,0.1,0.0010717668854455034,2.4793304788567048e+22
4,0.1,0.001096816005273138,2.47933370579357e+22
5,0.1,0.001122450568085307,2.479336932734562e+22
6,0.1,0.0011486842567375536,2.479340159679689e+22
7,0.1,0.0011755310738783698,2.4793433866289312e+22
8,0.1,0.0012030053494233243,2.479346613582299e+22
9,0.1,0.0012311217482038907,2.479349840539793e+22
10,0.1,0.0012598952777950272,2.4793530675014215e+22
11,0.1,0.0012893412965257157,2.4793562944671664e+22
12,0.1,0.001319475521676706,2.4793595214370376e+22
13,0.1,0.0013503140378698735,2.4793627484110436e+22
14,0.1,0.0013818733056536322,2.4793659753891663e+22
15,0.1,0.001414170170289024,2.479369202371415e+22
16,0.1,0.0014472218707411344,2.4793724293577894e+22
17,0.1,0.0014810460488806755,2.479375656348299e+22
18,0.1,0.0015156607589006028,2.479379747530845e+22
19,0.1,0.0015510844769528408,2.47938489678355e+22
20,0.1,0.0015873361110102088,2.4793900460466902e+22
21,0.1,0.001624435010958867,2.479395195320281e+22
22,0.1,0.001662400978926612,2.4794003446043154e+22
23,0.1,0.0017012542798525892,2.4794054938987824e+22
24,0.1,0.0017410156523040153,2.4794106432037038e+22
25,0.1,0.0017817063195457307,2.4794157925190676e+22
26,0.1,0.0018233480008684403,2.479420941844864e+22
27,0.1,0.001865962923181746,2.4794260911811142e+22
28,0.1,0.0019095738328780967,2.4794312405278087e+22
29,0.1,0.0019542040079740535,2.479436389884937e+22
30,0.1,0.001999877270535287,2.479441539252518e+22
31,0.1,0.00204661799939199,2.4792915860589155e+22
32,0.1,0.0020944511431514688,2.4791412286942295e+22
33,0.1,0.0021434022335148567,2.4789908802531173e+22
34,0.1,0.00219349739890506,2.4788405407324203e+22
35,0.1,0.002244763378413224,2.4786902101291247e+22
36,0.1,0.0022972275360711512,2.478539888440274e+22
37,0.1,0.0023509178754572866,2.478389575663035e+22
38,0.1,0.002405863054644067,2.4782392717946546e+22
39,0.1,0.0024620924014946257,2.4780889768324317e+22
40,0.1,0.0025196359293170162,2.4779943119280503e+22
41,0.1,0.002578524352884274,2.4780082746751095e+22
42,0.1,0.0026387891048289345,2.4780222374990955e+22
43,0.1,0.0027004623524206823,2.4780362004000114e+22
44,0.1,0.0027635770147361603,2.4780501633778596e+22
45,0.1,0.0028281667802300325,2.4780641264326414e+22
46,0.1,0.0028942661247167516,2.478078089564358e+22
47,0.1,0.0029619103297725538,2.4780920527730134e+22
48,0.1,0.0030311355015675795,2.4781102826995757e+22
49,0.1,0.003101978590138097,2.478133793038731e+22
50,0.1,0.0031744774091091933,2.4781573035958202e+22
51,0.1,0.003248670655878375,2.4781808143708476e+22
52,0.1,0.0033245979322709413,2.4782043253638278e+22
53,0.1,0.003402299765678068,2.4782278365747666e+22
54,0.1,0.0034818176306889667,2.4782513480036872e+22
55,0.1,0.003563193971228584,2.477829885832655e+22
56,0.1,0.0036464722232127486,2.4772790132179806e+22
57,0.1,0.003731696837732756,2.4767282621830243e+22
58,0.1,0.003818913304781854,2.4761776327176416e+22
59,0.1,0.003908168177536264,2.4756271248130257e+22
60,0.1,0.003999509097203665,2.475076738461913e+22
61,0.1,0.004092984818452442,2.4751143508119243e+22
62,0.1,0.004188645235435271,2.475155103899596e+22
63,0.1,0.004286541408420925,2.475195857644882e+22
64,0.1,0.0043867255910484985,2.4752366120478395e+22
65,0.1,0.004489251258218608,2.4752773671085706e+22
66,0.1,0.0045941731346364765,2.475021963154699e+22
67,0.1,0.004701547224022129,2.4747323942098765e+22
68,0.1,0.0048114308390032594,2.4744428583700694e+22
69,0.1,0.004923882631706742,2.4741533556108192e+22
70,0.1,0.00503896262506515,2.4739822389588778e+22
71,0.1,0.005156732244854963,2.474045033424925e+22
72,0.1,0.0052772543524835375,2.4741078294490226e+22
73,0.1,0.0054005932785423745,2.474170627031397e+22
74,0.1,0.005526814857144603,2.4741491500132883e+22
75,0.1,0.005655986461065008,2.473811650535534e+22
76,0.1,0.005788177037701274,2.4734741959184107e+22
77,0.1,0.005923457145875806,2.4731367861306276e+22
78,0.1,0.006061898993497572,2.4729890782356007e+22
79,0.1,0.006203576476104275,2.473078634840096e+22
80,0.1,0.006348565216305218,2.4731681946096204e+22
